City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,74.68,clear sky,-23.1203,-134.9692,People ThankYou
4,Tura,IN,75.83,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
5,Yellowknife,CA,73.92,broken clouds,62.456,-114.3525,The Explorer Hotel
9,Celestun,MX,84.15,clear sky,20.8667,-90.4,Posada Lilia
11,Bethel,US,75.36,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
18,Mayumba,GA,70.93,overcast clouds,-3.432,10.6554,LIKWALE LODGE
19,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
21,Bengkulu,ID,78.57,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,Kapaa,US,85.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Kutum,SD,76.17,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
32,Lasa,IT,70.68,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
34,Wukari,NG,72.39,overcast clouds,7.85,9.7833,Elimtop
38,Jamestown,US,73.04,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
39,Amritsar,IN,85.95,mist,31.6331,74.8656,OYO 27893 Sita Niwas Parking
41,Kpandu,GH,71.76,broken clouds,6.9954,0.2931,Emo House
43,Manica,FR,80.56,clear sky,49.0,-1.1667,Gite Lily
44,Manoel Urbano,BR,79.05,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
45,Kununurra,AU,76.98,few clouds,-15.7667,128.7333,Hotel Kununurra
47,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
49,Yatou,CN,80.98,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
51,Butaritari,KI,82.45,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
59,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
61,Faanui,PF,76.14,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Bandarbeyla,SO,76.86,overcast clouds,9.4942,50.8122,JABIR HOTEL
65,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.0833,Scoop Guest House
68,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
71,Anloga,GH,75.94,scattered clouds,5.7947,0.8973,Pin Drop Hotel
79,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
81,Bladel,NL,70.74,few clouds,51.3683,5.2208,"Groepsaccommodatie en vakantiehuizen Hofstede Landduin, Noord Brabant"
82,Sao Filipe,CV,76.37,overcast clouds,14.8961,-24.4956,Hotel Xaguate
83,Safidon,IN,89.53,clear sky,29.4167,76.6667,OYO 69884 Shri Balaji Guest House
85,Concarneau,FR,77.29,clear sky,47.875,-3.9225,Brit Hotel de L' Océan
90,Mackenzie,CA,70.02,overcast clouds,55.2999,-123.1698,Hilton Shop
93,Itacare,BR,71.6,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
97,Flin Flon,CA,82.83,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
100,Alexandria,EG,78.76,clear sky,31.2156,29.9553,Royal Crown Hotel
103,Sinnamary,GF,79.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
104,Haimen,CN,82.29,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
108,Maumere,ID,79.36,broken clouds,-8.6199,122.2111,Sylvia Hotel
109,Broome,US,73.45,overcast clouds,42.2506,-75.833,Chenango Valley State Park
110,Atuona,PF,76.93,broken clouds,-9.8,-139.0333,Villa Enata
112,Dhidhdhoo,MV,82.22,overcast clouds,6.8833,73.1,Dhidhoo beach
113,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
116,Lazaro Cardenas,MX,82.2,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
118,Wuda,CN,70.25,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
121,Sibu,MY,79.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
122,Coahuayana,MX,82.35,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
123,Aquiraz,BR,78.89,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
124,Xiongzhou,CN,86.7,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
129,San Quintin,MX,73.11,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
135,Yakeshi,CN,70.5,overcast clouds,49.2833,120.7333,Longhua Hotel
136,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
138,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
139,Nouadhibou,MR,73.38,broken clouds,20.931,-17.0347,El Medina
141,Cairns,AU,77.11,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
