City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.918,25.5701,60.31,97,75,4.61,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,74.68,74,0,10.67,clear sky
2,Ushuaia,AR,-54.8,-68.3,37.06,87,75,5.75,light rain
3,Bambous Virieux,MU,-20.3428,57.7575,68.22,82,75,16.11,light rain
4,Tura,IN,25.5198,90.2201,75.83,96,100,5.88,overcast clouds
5,Yellowknife,CA,62.456,-114.3525,73.92,46,75,5.75,broken clouds
6,Busselton,AU,-33.65,115.3333,54.19,79,0,8.99,clear sky
7,Kasongo-Lunda,CD,-6.4667,16.8167,68.4,83,7,2.86,clear sky
8,Port Lincoln,AU,-34.7333,135.8667,54.21,59,100,14.27,overcast clouds
9,Celestun,MX,20.8667,-90.4,84.15,74,8,16.89,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,26.46,light rain
11,Bethel,US,41.3712,-73.414,75.36,94,75,10.36,broken clouds
12,Bluff,NZ,-46.6,168.3333,46.8,71,100,15.01,overcast clouds
13,Saskylakh,RU,71.9167,114.0833,42.04,83,100,14.32,overcast clouds
14,Belaya Gora,RU,68.5333,146.4167,49.66,66,100,9.24,light rain
15,Port Alfred,ZA,-33.5906,26.891,63.12,59,51,6.71,broken clouds
16,Svetlaya,RU,46.5389,138.3297,65.97,80,52,4.59,broken clouds
17,Paamiut,GL,61.994,-49.6678,44.44,80,100,3.42,overcast clouds
18,Mayumba,GA,-3.432,10.6554,70.93,88,100,2.55,overcast clouds
19,San Cristobal,VE,7.7669,-72.225,75.38,92,98,1.61,overcast clouds
20,Oktyabrskoye,RU,43.0645,44.7417,64.54,88,9,4.47,clear sky
21,Bengkulu,ID,-3.8004,102.2655,78.57,79,13,3.09,few clouds
22,Kapaa,US,22.0752,-159.319,85.98,71,100,18.41,overcast clouds
23,Adrar,MR,20.5022,-10.0711,93.88,26,38,5.95,scattered clouds
24,Hermanus,ZA,-34.4187,19.2345,53.8,82,98,3.76,overcast clouds
